,SMILES,CID,Solubility1,Solubility2,Molecular_Weight,sol_new1,Unit,pubchem_sol_gl,smiles_canon,Lit_Sol_LogS,Lit_gram_liter,Error_gl
0,CC(CN)O,4.0,"greater than or equal to 100 mg/mL at 67.6 °F (NTP, 1992)","('100', 'mg/mL', '')",75.11099999999999,100.0,mg/mL,100.0,CC(O)CN,1.124301119,1000.01073713714,900.01073713714
1,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,6.0,13.8 [ug/mL] (The mean of the results at pH 7.4),"('13.8', 'ug/mL', '')",202.553,13.8,ug/mL,0.0138,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,-4.340860276,0.009240136861469737,-0.004559863138530263
2,C(CCl)O,34.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",80.514,100.0,mg/mL,100.0,OCCCl,1.0940750865000002,999.8767957460776,899.8767957460776
3,C(CNC(=O)N)C(=O)O,111.0,20.9 mg/mL,"('20.9', 'mg/mL', '')",132.119,20.9,mg/mL,20.9,NC(=O)NCCC(=O)O,-0.8011111395,20.88594540230533,-0.014054597694666882
4,C(CC(=O)O)CN,119.0,1.2 [ug/mL] (The mean of the results at pH 7.4),"('1.2', 'ug/mL', '')",103.121,1.2,ug/mL,0.0012,NCCCC(=O)O,1.100732228,1300.407135528892,1300.405935528892
5,C1=CC(=CC=C1CO)O,125.0,6700 mg/L @ 20 °C (exp),"('6700', 'mg/L', '')",124.13899999999995,6700.0,mg/L,6.7,OCc1ccc(O)cc1,-1.267818469,6.700230964993353,0.00023096499335295562
6,C(CCN)CC(=O)O,138.0,1000 mg/mL at 20 Â°C,"('1000', 'mg/mL', '')",117.14799999999998,1000.0,mg/mL,1000.0,NCCCCC(=O)O,0.9312788535,1000.0316196857661,0.03161968576614527
7,CC=O,177.0,"0.1 to 1.0 mg/mL at 66 °F (NTP, 1992)","('0.1', 'mg/mL', '')",44.053,0.1,mg/mL,0.1,CC=O,1.3560270435,1000.0058315847298,999.9058315847298
8,CC(=O)C,180.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",58.08,100.0,mg/mL,100.0,CC(C)=O,1.235986696,1000.0306333521587,900.0306333521587
9,C1=NC2=NC=NC(=C2N1)N,190.0,>20.3 [ug/mL] (The mean of the results at pH 7.4),"('20.3', 'ug/mL', '')",135.12999999999997,20.3,ug/mL,0.0203,Nc1ncnc2nc[nH]c12,-2.117907276,1.030017256504196,1.009717256504196
10,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,191.0,>40.1 [ug/mL] (The mean of the results at pH 7.4),"('40.1', 'ug/mL', '')",267.245,40.1,ug/mL,0.0401,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.55834791,7.388591884180903,7.348491884180903
12,C[N+](C)(C)CC(=O)O,248.0,611.0 mg/mL at 19 °C,"('611.0', 'mg/mL', '')",118.15599999999998,611.0,mg/mL,611.0,C[N+](C)(C)CC(=O)O,0.72000003,620.0915455671262,9.091545567126218
13,C(=O)O,284.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",46.025000000000006,100.0,mg/mL,100.0,O=CO,1.3369795125,999.9385451463777,899.9385451463777
14,C(C(=CC(=O)O)C(=O)O)C(=O)O,309.0,"1 G DISSOLVES IN 5.5 ML WATER @ 13 °C, 2 ML @ 25 °C; SOL IN 2 PARTS 88% ALCOHOL @ 12 °C; SLIGHTLY SOL IN ETHER","('5.5', ' M', '')",174.10799999999998,5.5, M,957.594,O=C(O)C=C(CC(=O)O)C(=O)O,0.361218138,399.97870020369476,-557.6152997963053
15,CC(C)C1=CC=C(C=C1)C=O,326.0,282 mg/L @ 20 °C (exp),"('282', 'mg/L', '')",148.20499999999996,282.0,mg/L,0.282,CC(C)c1ccc(C=O)cc1,-2.785254238,0.24300131159817767,-0.0389986884018223
16,C1=C(C=C(C=C1O)O)O,359.0,10.6 mg/mL at 20 °C,"('10.6', 'mg/mL', '')",126.11099999999998,10.6,mg/mL,10.6,Oc1cc(O)cc(O)c1,-1.066963588,10.809096185301538,0.20909618530153828
