,SMILES,CID,Solubility1,Unit,Molecular_Weight,pubchem_sol_gl,Lit_gram_liter,Error_gl_in_%
282,CC1COC(O1)(C)C,62384.0,111000 mg/L @ 18C (exp),mg/L,116.15999999999998,111.0,110.99999988993429,9.915830008770796e-08
358,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N,9834513.0,"In water, 5.2X10+3 mg/L at 20 °C",mg/L,229.161,5.2,5.199997726207449,4.37267989583404e-05
181,CSC1=CC=CC=C1,7520.0,0.506 mg/mL at 25 °C,mg/mL,124.20799999999996,0.506,0.505998895454932,0.0002182900156277389
58,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I,3259.0,0.7 mg/mL,mg/mL,835.895,0.7,0.6999983502233995,0.00023568292695497946
227,C(COCCOCCOCCO)O,8200.0,Miscible with water /1.0X10+6 mg/L/ at 20 °C,mg/L,194.227,1000.0,1000.0033322448757,0.00033322337718318475
157,CC(=O)C1=CC=CS1,6920.0,14 mg/mL at 30 °C,mg/mL,126.17999999999998,14.0,13.999950159446641,0.0003560052199576828
267,CC(C)N.C(C(=O)O)NCP(=O)(O)O,38078.0,"In water, 1.05X10+6 mg/L at 25 °C",mg/L,228.185,1050.0,1049.994664383464,0.0005081565380326256
261,CCCOC(=O)NCCCN(C)C,32490.0,"In water, 9.0X10+5 mg/L at 20 °C, pH 7.0",mg/L,188.271,900.0,900.0047807138325,0.0005311876042127752
228,CC(C)(C=C)O,8257.0,1000 mg/mL,mg/mL,86.134,1000.0,999.9939960337816,0.0006004002266199405
317,C1=NC2=NC(=O)NC(=C2N1)N,76900.0,0.0625 mg/mL,mg/mL,151.129,0.0625,0.06249958644938773,0.0006616853578761996
337,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C)O,3321199.0,1800 mg/L @ 25 °C (exp),mg/L,496.55300000000017,1.8,1.7999872945570823,0.0007058629222650241
355,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,6602503.0,1000.0 mg/mL,mg/mL,342.297,1000.0,1000.0071215970896,0.0007121546372837978
319,CCC(CC)(C(=O)O)O,77199.0,26 mg/mL at 18 °C,mg/mL,132.159,26.0,25.999803269093746,0.0007566630570911366
286,CC1=C(NC(=O)N=C1)N,65040.0,34.5 mg/mL,mg/mL,125.131,34.5,34.500275752360054,0.0007992758145846203
289,CC1(C=CC2=C(O1)C=C3C(=C2OC)C=CC(=O)O3)C,66548.0,40 mg/L @ 25 °C (exp),mg/L,258.273,0.04,0.04000033367699251,0.0008341855225592356
310,CC(C)C[C@@H](C(=O)O)NC(=O)C,70912.0,8.1 mg/mL at 25 °C,mg/mL,173.21199999999996,8.1,8.099924868719976,0.0009275552704710824
245,C1=CC(=O)NC=C1,8871.0,1000 mg/mL at 20 °C,mg/mL,95.10099999999996,1000.0,1000.0105151029966,0.0010514992430349793
280,CCC(CC)COC(=O)C,61448.0,6.4 mg/mL at 20 °C,mg/mL,144.214,6.4,6.400069120155677,0.0010799907685170905
322,CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,79437.0,5.5 mg/mL at 15 °C,mg/mL,210.193,5.5,5.500078496529642,0.0014271892608655658
237,CC1=CC=C(C=C1)C(=O)C,8500.0,0.372 mg/mL at 15 °C,mg/mL,134.178,0.372,0.3719944549164401,0.0014906360798099807
331,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,1794427.0,40 mg/mL at 25 °C,mg/mL,354.31100000000004,40.0,40.00062689709587,0.0015672181775620206
204,CC(CC=O)O,7897.0,Miscible with water /1.00X10+6 mg/L/,mg/L,88.106,1000.0,999.9836155872633,0.0016384681190049304
19,C(C(=O)O)N=C(N)N,763.0,3.6 mg/mL at 15 °C,mg/mL,117.10800000000002,3.6,3.5999385210762442,0.001707777046633381
271,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N,41211.0,500 mg/L at 15 °C,mg/L,347.22400000000005,0.5,0.4999913601845412,0.00172799295083813
363,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,22833539.0,0.0027 mg/mL,mg/mL,449.6320000000003,0.0027,0.002699951961460059,0.0017792368392774728
66,CC(C)C1=CC(=O)C(=CC=C1)O,3611.0,1.2 mg/mL at 25 °C,mg/mL,164.20399999999998,1.2,1.19997811298603,0.001823951098192557
184,C=CCN(CC=C)CC=C,7617.0,"2.5 mg/mL (NTP, 1992)",mg/mL,137.22599999999997,2.5,2.499953189488177,0.0018724555331688765
256,CN=C(N)N,10111.0,1.78 mg/mL,mg/mL,73.099,1.78,1.7799648897069305,0.001972527282566475
296,CNC1=NC=NC2=C1NC=N2,67955.0,1.18 mg/mL at 20 °C,mg/mL,149.157,1.18,1.1799762681367378,0.002011215301776701
308,CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2,70346.0,0.52 mg/mL at 18 °C,mg/mL,196.166,0.52,0.5199893974875767,0.002038986270600932
313,CCCSS(=O)CCC,74761.0,20 mg/mL,mg/mL,166.31099999999995,20.0,19.999584582960217,0.002077128342638065
248,CCCCCCCCCCN,8916.0,"In water, 5.5X10+2 mg/L at 25 °C",mg/L,157.301,0.55,0.5499880042265897,0.0021810972817938087
213,CCCCOC(=O)CCC,7983.0,0.5 mg/mL at 20 °C,mg/mL,144.21399999999997,0.5,0.5000111388950133,0.0022277293737631406
312,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC,73674.0,"In water, 2.24X10+3 mg/L at 25 °C",mg/L,387.39900000000017,2.24,2.2400540388148737,0.0024123888949628136
164,CC(=O)C1=CC2=CC=CC=C2C=C1,7122.0,0.272 mg/mL at 25 Â°C,mg/mL,170.21099999999998,0.272,0.27200666093663695,0.002448813795217314
338,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C,5280352.0,0.009 mg/mL at 25 °C,mg/mL,584.6730000000002,0.009,0.008999760662374729,0.0026593776684661124
202,CC(C)OP(=O)(C)F,7871.0,Miscible with water /1X10+6 mg/L at 25 °C /,mg/L,140.094,1000.0,1000.0300120806033,0.003001117990539161
243,C(CI)C(=O)O,8856.0,74.3 mg/mL at 25 °C,mg/mL,199.975,74.3,74.29775743870708,0.0030183431778098013
99,C(C(=O)O)F,5237.0,Miscible with water (1.0X10+6 mg/L) at 25 °C,mg/L,78.042,1000.0,1000.0303330921766,0.0030332172108074895
5,C(CCN)CC(=O)O,138.0,1000 mg/mL at 20 Â°C,mg/mL,117.14799999999998,1000.0,1000.0316196857661,0.003161868599322982
180,CC1=CCC(=CC1)C(C)C,7461.0,0.00868 mg/mL at 22 Â°C,mg/mL,136.238,0.00868,0.008679721779212368,0.003205411356602316
4,C1=CC(=CC=C1CO)O,125.0,6700 mg/L @ 20 °C (exp),mg/L,124.13899999999995,6.7,6.700230964993353,0.0034471198763098873
305,C(CSSCCC(C(=O)O)N)[C@@H](C(=O)O)N,69382.0,0.2 mg/mL at 25 °C,mg/mL,268.36,0.2,0.2000074529343844,0.0037263283317944002
20,C1=CC(=C(C=C1O)CC(=O)O)O,780.0,850 mg/mL at 25 °C,mg/mL,168.148,850.0,849.9683083703738,0.0037285660317046584
314,CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,75324.0,25 mg/mL at 20 °C,mg/mL,224.22,25.0,25.000988378931662,0.00395335942996313
297,C1=CC=C(C=C1)CC(=O)NCC(=O)O,68144.0,7.3 mg/mL at 11 °C,mg/mL,193.202,7.3,7.2997060647808825,0.004026671985266868
269,CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C,39681.0,0.054 mg/mL at 25 °C,mg/mL,290.406,0.054,0.054002222819786484,0.004116163502940883
284,CN1C=NC=C1C[C@@H](C(=O)O)N,64969.0,200 mg/mL at 25 °C,mg/mL,169.18399999999997,200.0,200.00910949244542,0.00455453877502631
143,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,6506.0,"In water, 6.50X10+4 mg/L at room temp",mg/L,276.285,65.0,64.99681169517321,0.004905324959238973
116,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,5934.0,0.4 [ug/mL] (The mean of the results at pH 7.4),ug/mL,239.322,0.0004,0.000400020845598128,0.005211127959293583
87,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,4788.0,0.123 mg/mL at 16 °C,mg/mL,274.272,0.123,0.1229933054710585,0.005443002703166254
201,C(CS(=O)(=O)O)O,7866.0,1000 mg/mL,mg/mL,126.13299999999995,1000.0,1000.0568577287585,0.005685449614095278
63,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C,3515.0,0.000664 mg/mL at 25 °C,mg/mL,198.309,0.000664,0.0006639607770861094,0.005907414299784229
152,CC(=O)NC1=C2C(=CSS2)N(C1=O)C,6870.0,0.21 mg/mL,mg/mL,228.298,0.21,0.2100128786622358,0.006132320226193588
171,COC(=O)CCl,7295.0,"In water, 4.6X10+4 mg/L at 20 °C",mg/L,108.52400000000002,46.0,45.997031773134324,0.006453083495290506
351,C/C=C(/C)\C=O,6028462.0,25 mg/mL,mg/mL,84.11799999999998,25.0,24.99823295074906,0.007068696633164787
318,C=CCCN=C=S,76922.0,0.46 mg/mL at 20 °C,mg/mL,113.18499999999996,0.46,0.4600328821156459,0.007147775066571762
206,CC1COC(=O)O1,7924.0,"In water, 1.75X10+5 mg/L at 25 °C",mg/L,102.08899999999998,175.0,174.9872363734191,0.007294032893721678
278,C(CO[N+](=O)[O-])OCCO[N+](=O)[O-],61198.0,"In water, 3.9X10+3 mg/L at 25 °C",mg/L,196.115,3.9,3.899708753096086,0.007468427063502962
231,CCC(C)C(=O)O,8314.0,45 mg/mL at 20 °C,mg/mL,102.13299999999998,45.0,45.00343667589521,0.007636474342968708
270,CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,39965.0,"In water, 3.3X10+4 mg/L at 25 °C",mg/L,252.31799999999996,33.0,33.002605918953975,0.007896100569677987
299,C(CS(=O)(=O)O)N=C(N)N,68340.0,39 mg/mL at 21 °C,mg/mL,167.18999999999997,39.0,39.00321803278583,0.008250685323262995
151,C1=CC=C2C(=C1)C=CC=C2CC(=O)N,6861.0,0.039 mg/mL at 40 °C,mg/mL,185.22599999999997,0.039,0.03900335340620383,0.008597738171145756
7,CCOP(=S)(OCC)OC1=CC=C(C=C1)N,220.0,0.39 mg/mL,mg/mL,261.283,0.39,0.3900418017180288,0.010717240522601878
285,C=CCSS(=O)CC=C,65036.0,24 mg/mL at 10 °C,mg/mL,162.27899999999997,24.0,24.002823012354852,0.011761168065103923
262,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,33294.0,0.4 mg/mL at 20 °C,mg/mL,288.349,0.4,0.39994106440819516,0.014736069148606644
212,C1=CC=NC(=C1)Cl,7977.0,"In water, 2.00X10+4 mg/L t 25 °C",mg/L,113.54699999999998,20.0,20.003090176448275,0.01544849531255578
229,C(C(Cl)(Cl)Cl)O,8259.0,83.3 mg/mL at 25 °C,mg/mL,149.404,83.3,83.28433825486393,0.01880515048116744
172,CC(C(C)(C)C)OP(=O)(C)F,7305.0,"In water, 2.1X10+4 mg/L at 20 °C",mg/L,182.17499999999995,21.0,21.004151857826542,0.01976684350144527
16,CN1CC(=O)N=C1N,588.0,80.1 mg/mL at 16 °C,mg/mL,113.12,80.1,80.08282712953368,0.02144388638844373
226,CCCCOCCOCCCC,8188.0,"In water, 2.0X10+3 mg/L at 20 °C",mg/L,174.28399999999996,2.0,2.0004895260606212,0.024470313602952296
57,C1CC2C(C(C1O2)C(=O)O)C(=O)O,3225.0,"In water, 1.0X10+5 mg/L at 20 °C",mg/L,186.163,100.0,99.97545030767536,0.024555720678515334
254,C1=CC(=C(C(=C1)O)C(=O)O)O,9338.0,9.56 mg/mL,mg/mL,154.12099999999998,9.56,9.562984977944508,0.031213872565852847
138,CC(F)F,6368.0,"In water, 3.2X10+3 mg/L at 25 °C",mg/L,66.05,3.2,3.198979079730616,0.031913940164630415
42,C1=CC=C(C=C1)CN=C=S,2346.0,0.109 mg/mL at 25 °C,mg/mL,149.218,0.109,0.10903668091904928,0.03364089840235594
156,C1=COC(=C1)C(=O)O,6919.0,37.1 mg/mL at 15 °C,mg/mL,112.08399999999996,37.1,37.11450062025473,0.03906995921377371
211,CC1=NC=CN=C1,7976.0,1000 mg/mL at 20 °C,mg/mL,94.117,1000.0,999.6019990856453,0.039815938215288074
209,CC(COC)OC(=O)C,7946.0,"In water, 1.98X10+5 mg/L at 25 °C",mg/L,132.159,198.0,198.0976501060978,0.049293924509201684
155,CCC(CC)C(=O)O,6915.0,18 mg/mL at 20 °C,mg/mL,116.15999999999998,18.0,17.99105384528738,0.049725573552016566
161,COC1=C(C(=CC=C1)OC)O,7041.0,17.2 mg/mL at 13 °C,mg/mL,154.16499999999996,17.2,17.208779692020798,0.05101867870892332
146,CC(CBr)Br,6553.0,"In water, 1.43X10+3 mg/L at 25 °C",mg/L,201.889,1.43,1.4292646646352924,0.05144850935604195
139,C(F)(F)F,6373.0,"In water, 4.09X10+3 mg/L at 25 °C",mg/L,70.013,4.09,4.092232519348124,0.05455504636084274
13,CCCCCCCC=O,454.0,"In water, 5.6X10+2 mg/L at 25 °C",mg/L,128.215,0.56,0.559678774306729,0.05739465350798558
300,COC1=C(C2=C(COC2=O)C=C1)OC,68437.0,2.5 mg/mL at 25 °C,mg/mL,194.186,2.5,2.50160027445083,0.06397003019122191
241,CCC(=O)OCC(COC(=O)CC)OC(=O)CC,8763.0,3.07 mg/mL at 37 °C,mg/mL,260.28599999999994,3.07,3.0679678862017545,0.06623647553107634
2,C(CNC(=O)N)C(=O)O,111.0,20.9 mg/mL,mg/mL,132.119,20.9,20.88594540230533,0.06729213077956037
33,C1=C2C(=NC=N1)N=CN2,1044.0,500.0 mg/mL,mg/mL,120.115,500.0,500.37161383834456,0.0742675699554403
216,CCCCCCCCCC(=O)OCC,8048.0,0.0159 mg/mL at 25 °C,mg/mL,200.322,0.0159,0.015912142063643768,0.07630690824153313
26,N#N,947.0,"In water, 1.81X10+4 mg/L at 21 °C",mg/L,28.014,18.1,18.083193283634937,0.09294108679507342
218,CC(C)CCOC=O,8052.0,3.5 mg/mL at 25 °C,mg/mL,116.15999999999998,3.5,3.503701375777582,0.10564187356750523
124,CC(C)(C(=O)O)N,6119.0,181 mg/mL at 25 °C,mg/mL,103.121,181.0,181.20281966359173,0.11192963992959161
192,CCCCCCCC(=O)OCC,7799.0,0.0701 mg/mL at 25 °C,mg/mL,172.26799999999997,0.0701,0.07017858569675886,0.11197959602439575
107,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,5753.0,0.199 mg/mL,mg/mL,346.4670000000001,0.199,0.19923231543541817,0.11660529814675699
217,CCOC(=O)CCCCCCCCC(=O)OCC,8049.0,0.08 mg/mL at 20 °C,mg/mL,258.3579999999999,0.08,0.07990155791841587,0.12320420796381412
250,CCOC1=CC=C(C=C1)N,9076.0,"5 to 10 mg/mL at 68 °F (NTP, 1992)",mg/mL,137.18199999999996,7.5,7.50999945042099,0.1331484840578702
295,CCOC1=C(C=C(C=C1)C=O)OC,67116.0,1.16 mg/mL at 25 °C,mg/mL,180.203,1.16,1.1617202731654392,0.1480798093289658
266,C=CCN(CC=C)C(=O)C(Cl)Cl,37829.0,"In water, 5.0X10+3 mg/L at 20 °C",mg/L,208.088,5.0,4.991683444529276,0.16660823073304004
165,CCOC(=O)C1=CC=CC=C1,7165.0,0.72 mg/mL at 25 °C,mg/mL,150.177,0.72,0.7187923137473688,0.16801602208779107
14,C1=CC=C(C=C1)C(=O)NCC(=O)O,464.0,3.75 mg/mL,mg/mL,179.17499999999995,3.75,3.7434963424577243,0.17373217300930519
347,C(=C/C(=O)O)\C=C\C(=O)O,5356793.0,0.2 mg/mL at 15 °C,mg/mL,142.11,0.2,0.20042780614906452,0.21344650589366854
239,C1=CC=C2C=C(C=CC2=C1)O,8663.0,"In water, 7.55X10+2 mg/L at 25 °C",mg/L,144.17299999999997,0.755,0.7566306596659048,0.21551593833440988
249,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,8955.0,0.00706 mg/mL at 37 °C,mg/mL,316.48500000000007,0.00706,0.007085216595398006,0.3559043687441334
294,CNC1=CC=CC=C1C(=O)O,67069.0,0.2 mg/mL at 20 °C,mg/mL,151.165,0.2,0.19927427988387933,0.3641815273619715
97,CN1C2CC(CC1C3[C@@H]2O3)OC(=O)C(CO)C4=CC=CC=C4,16399351.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
94,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(CO)C4=CC=CC=C4,6451257.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
93,CN1C2CC(CC1[C@@H]3[C@H]2O3)OC(=O)C(CO)C4=CC=CC=C4,6432494.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
92,CN1[C@H]2CC(C[C@H]1[C@H]3[C@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,5284456.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
91,CN1C2CC(CC1C3C2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,2723877.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
90,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,5184.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
95,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(CO)C4=CC=CC=C4,6451257.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
96,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,11968014.0,1.0X10+5 mg/L,mg/L,303.35799999999995,100.0,100.45127475071585,0.44924741058364487
68,CC(=O)CCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,3824.0,0.174 mg/mL at 20 °C,mg/mL,322.36400000000003,0.174,0.17311971800510018,0.5084816478697582
236,COC1=CC=C(C=C1)C(=O)OC,8499.0,0.643 mg/mL at 20 °C,mg/mL,166.17599999999996,0.643,0.6464996601456954,0.5413243596921111
129,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,6238.0,0.00648 mg/mL,mg/mL,330.4680000000001,0.00648,0.00644361245192842,0.5647072716282011
224,CCCCCCCCCCC(=O)O,8180.0,0.0522 mg/mL,mg/mL,186.295,0.0522,0.05250506481799116,0.5810197912309262
153,CC(C)CCOC(=O)C1=CC=CC=C1O,6874.0,0.145 mg/mL at 25 °C,mg/mL,208.257,0.145,0.1440786425106649,0.6394823502497143
268,CC1=C2C(=CC=C1)SC3=NN=CN23,39040.0,1.6 mg/mL at 25 °C,mg/mL,189.243,1.6,1.6107191576353237,0.6654889267636368
253,C1=CN=CN=C1,9260.0,1000 mg/mL at 25 °C,mg/mL,80.08999999999999,1000.0,1008.2733623059486,0.8205475434784051
31,C1=CC=C(C=C1)C(CN)O,1000.0,45.8 mg/mL,mg/mL,137.182,45.8,45.425229507224806,0.8250271860829774
160,C1=CC=C(C(=C1)C=O)O,6998.0,"Solubility in water, 1.7X10+4 mg/L at 86 °C",mg/L,122.12299999999996,17.0,16.857666754609806,0.8443235203428882
158,CC1=CC=CC=C1S(=O)(=O)N,6924.0,"In water, 1.62X10+3 mg/L at 25 °C",mg/L,171.22099999999998,1.62,1.6351478557117625,0.9263905804511274
