Molecular_Weight,SMILES,sol_final,LogS
41.988,[F-].[Na+],30.0,-0.14600393381086882
165.708,CC[N+](CC)(CC)CC.[Cl-],0.0203,-3.9118474377480488
205.641,CC1=NC=C(C(=C1O)CO)CO.Cl,7.5,-1.4380484437145291
368.499,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,75.0,-0.6913750502550089
472.8880000000002,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,30.0,-1.1976370387842263
960.822,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)C)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],5.5,-2.242280249081722
448.0910000000002,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],30.0,-1.1742449663868872
159.616,COC1=CC=CC=C1N.Cl,30.0,-0.7259551684067486
249.705,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,0.0304,-3.914553654980756
232.28,C1CNCCN1.C(CCC(=O)O)CC(=O)O,30.0,-0.8888905626416241
358.19000000000005,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+].[Na+],7.5,-1.679052193594674
325.288,CC(=O)[O-].CC(=O)[O-].[Pb+2],30.0,-1.035146787566466
230.695,CCN(CC)C1=CC(=C(C=C1)N=O)O.Cl,75.0,-0.48797691848985636
496.4300000000002,CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],225.0,-0.3436755005670086
65.011,[N-]=[N+]=[N-].[Na+],75.0,0.062074416977789176
510.3090000000002,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O.[Na+],0.0037,-5.139631503712365
228.185,CC(C)N.C(C(=O)O)NCP(=O)(O)O,1050.0,0.662902206890197
