Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
2000,7485.0,COC1=CC=C(C=C1)[N+](=O)[O-],"less than 1 mg/mL at 75° F (NTP, 1992)","less than 1 mg/mL at 75 °F (NTP, 1992)"
2001,7486.0,CC(C)C1=CC=C(C=C1)C(C)C,INSOL IN WATER,INSOL IN WATER
2002,7488.0,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,SOLUBLE IN ETHER,SOLUBLE IN ETHER
2003,7489.0,C1=CC(=CC=C1C(=O)O)C(=O)O,"Insoluble (NTP, 1992)","Insoluble (NTP, 1992)"
2004,7490.0,CN(C)C1=CC=C(C=C1)N(C)C,"less than 1 mg/mL at 70° F (NTP, 1992)","less than 1 mg/mL at 70 °F (NTP, 1992)"
2005,7492.0,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],"0.01 % (NIOSH, 2016)","0.01 % (NIOSH, 2024)"
2006,7493.0,C1=CC(=NC=C1C(=O)O)C(=O)O,0.01 M,
2007,7494.0,C1=CC(=CC=C1CCO)[N+](=O)[O-],"less than 0.1 mg/mL at 64° F (NTP, 1992)","less than 0.1 mg/mL at 64 °F (NTP, 1992)"
2008,7495.0,CCOC1=CC=C(C=C1)[N+](=O)[O-],"SLIGHTLY SOL IN WATER, ALCOHOL; SOL IN HOT PETROLEUM ETHER; VERY SOL IN HOT ALCOHOL, DIETHYL ETHER; SOL IN ALL PROPORTIONS IN ACETONE, BENZENE","SLIGHTLY SOL IN WATER, ALCOHOL; SOL IN HOT PETROLEUM ETHER; VERY SOL IN HOT ALCOHOL, DIETHYL ETHER; SOL IN ALL PROPORTIONS IN ACETONE, BENZENE"
2009,7497.0,CCN(CC)CCO,"Very soluble (NTP, 1992)","Very soluble (NTP, 1992)"
2010,7498.0,C1=CC=C(C=C1)CBr,"Reaction (NTP, 1992)","Reaction (NTP, 1992)"
2011,7499.0,C=CC1CCC=CC1,4.62e-04 M,Miscible with methanol
