,Unnamed: 0,CID,SMILES
0,0,2,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
1,1,3,C1=CC(C(C(=C1)C(=O)O)O)O
2,2,4,CC(CN)O
3,3,5,C(C(=O)COP(=O)(O)O)N
4,4,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
5,5,7,CCN1C=NC2=C(N=CN=C21)N
6,6,8,CCC(C)(C(C(=O)O)O)O
7,7,9,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
8,8,11,C(CCl)Cl
9,9,12,C1=C(C=C(C(=C1O)O)O)O
10,10,13,C1=CC(=C(C=C1Cl)Cl)Cl
11,11,14,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
12,12,15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
13,13,16,C1CCC(=O)NCCCCCC(=O)NCC1
14,14,17,C1C=CC(=NC1C(=O)O)C(=O)O
15,15,18,C(C(C(C(=O)C(=O)C(=O)O)O)O)O
16,16,19,C1=CC(=C(C(=C1)O)O)C(=O)O
17,17,20,C1=CC(=C(C(=C1)O)O)CCC(=O)O
18,18,21,CCC(C(=O)C)(C(=O)O)O
19,19,22,CC(=O)C(C)(C(=O)O)O
20,20,23,C(=CC(=C(C(=O)O)N)C(=O)O)C=O
21,21,24,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
22,22,26,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
23,23,28,C(=CC(=O)O)C=C(C(=O)O)N
24,24,29,C(=O)C(C(=O)O)N
25,25,30,C(=CC=O)C=C(C(=O)O)N
26,26,31,CC(CO)(C(COP(=O)(O)O)O)O
27,27,32,C(=CC(=O)O)C=C(C(=O)O)C(=O)O
28,28,33,C(C=O)Cl
29,29,34,C(CCl)O
30,30,35,C1=CC(OC1=O)(CC(=O)O)Cl
31,31,36,CC(C)C(C(C(=O)O)O)C(=O)O
32,32,37,C(C(C(CO)O)O)C(=O)C(=O)O
33,33,38,CC(C)(CO)C(=O)C(=O)O
34,34,39,CC1(COC(=O)C1=O)C
35,35,40,C1C(C(C(OC1O)CO)O)O
36,36,41,CSCCC(=O)C(=COP(=O)(O)O)O
37,37,42,C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O
38,38,43,C(CC(=O)O)C(C(=O)O)O
39,39,44,C(C(=O)[O-])(C(=O)[O-])O
40,40,45,C(C(=O)O)(C(=O)O)O
41,41,46,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
42,42,47,CCC(C)C(=O)C(=O)O
