,SMILES,Unit,sol_final
0,CC(CN)O,mg/mL,100.0
1,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,ug/mL,0.0138
2,C(CCl)Cl,mg/mL,10.0
3,C1=CC(=C(C(=C1)O)O)C(=O)O,mg/L,0.0026
4,C(C=O)Cl,mg/mL,100.0
5,C(CCl)O,mg/mL,100.0
6,C(C(=O)O)(C(=O)O)O,mg/L,0.006
7,CCC(=O)C(=O)O,mg/mL,119.0
8,CC(C)CC(=O)C(=O)O,mg/mL,32.0
9,C1=CC(=CC(=C1)O)CCC(=O)O,mg/L,0.0017
10,C(CC(=O)O)C(=O)CC(=O)O,mg/L,0.006
11,C(C(C(=O)O)N)S(=O)O,ug/mL,0.023
12,C(CC(=O)O)CN,ug/mL,0.0012
13,C(CC(=O)O)C(=O)CN,ug/mL,0.0186
14,C(CO)O,mg/mL,100.0
15,CC(=O)O,mg/mL,100.0
16,CC=O,mg/mL,0.1
17,CC(=O)N,mg/mL,100.0
18,CC(=O)C,mg/mL,100.0
19,C1=NC2=NC=NC(=C2N1)N,ug/mL,0.0203
20,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,ug/mL,0.0401
21,C(C(=O)O)(NC(=O)N)NC(=O)N,mg/L,0.006
22,N,mg/L,0.0048
23,[NH4+],mg/mL,10.2
24,C1=CC=C(C(=C1)C(=O)O)N,mg/mL,0.1
25,C1=CC=C(C=C1)C=O,mg/mL,0.1
26,C1=CC=C(C=C1)CO,mg/mL,10.0
27,C[N+](C)(C)CC(=O)O,mg/mL,611.0
28,[Br-],mg/mL,35.0
29,CCCC(=O)O,mg/mL,100.0
30,C(CON=C(N)N)C(C(=O)O)N,mg/L,0.001
31,C(=O)(N)O,mg/L,0.006
32,C(=O)O,mg/mL,100.0
33,C1=CC=C(C(=C1)O)O,mg/mL,100.0
34,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],ug/mL,0.0485
35,C(C(=O)O)Cl,mg/mL,100.0
36,C1=CC=C(C=C1)C=CCO,mg/L,6.188
37,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,mg/mL,100.0
38,[Cl-],mg/mL,6.3
39,C1=CC=C2C(=C1)C=CC(=O)O2,mg/mL,0.1
40,CC(C)C1=CC=C(C=C1)C=O,mg/L,0.282
41,CC1=CC(=CC=C1)O,mg/mL,10.0
42,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,mg/L,0.3553
43,C(CCNCCCCN)CN,mg/L,0.0098
44,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,mg/L,0.0013
45,CC(C)[N+](=O)[O-],mg/mL,0.1
46,C[N+]1(CCCC1C2=CN=CC=C2)[O-],mg/mL,1000.0
47,CNC(=O)CCC(=O)C1=CN=CC=C1,mg/L,0.0
48,C[N+]1=CC=CC(=C1)C(=O)N,mg/mL,855.0
49,COC1=CC=CC=C1O,mg/mL,10.0
50,C(CCNC(=O)N)CN,mg/L,0.0038
51,CCC=O,mg/mL,50.0
52,CSCCC(=O)O,mg/L,0.0067
53,C(CCC(=O)O)CCN,ug/mL,0.0009
54,CN1CC(=O)N=C1N,mg/mL,80.1
55,C1=C(NC(=O)N=C1)N,ug/mL,0.0167
56,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,ug/mL,0.0341
57,CC(=O)C(=O)C,mg/mL,100.0
58,C(C(=O)CO)O,mg/L,0.0093
59,CS(=O)C,mg/mL,100.0
60,C(CO)N,mg/mL,100.0
61,CCO,mg/mL,100.0
62,C(=O)N,mg/mL,100.0
63,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,ml,0.0
64,C(CC(=O)O)CC(=O)O,mg/mL,100.0
65,C(C(=O)O)N,mg/mL,100.0
66,C(C(C=O)O)O,mg/mL,17.0
67,C(C(CO)O)O,mg/mL,100.0
68,C(C(=O)O)O,mg/L,0.01
69,C(C(=O)O)N=C(N)N,mg/mL,3.6
70,C(=O)(O)O,mg/mL,12.8
71,C1=C(NC=N1)CCN,ug/mL,0.0141
72,[HH],mg/L,0.0016
73,OO,mg/mL,100.0
74,C1=CC(=CC=C1O)O,mg/mL,10.0
75,C1=NC2=C(N1)C(=O)N=CN2,mg/mL,0.7
76,CCC(C)C(C(=O)O)N,mg/mL,21.4
